t,a0_pos,a1_pos,headway_cells,entered_junction
0,1,3,2,0
1,2,4,2,0
2,3,5,2,0
3,4,6,2,0
4,5,7,2,0
5,5,8,2,0
6,6,9,3,0
7,7,10,3,0
8,8,11,3,0
9,9,12,3,0
10,10,13,3,0
11,11,14,3,0
12,12,15,3,0
13,13,16,3,0
14,14,17,3,0
15,15,18,3,0
16,16,19,3,0
17,17,20,3,0
18,18,21,3,0
19,19,22,3,0
20,20,23,3,0
21,21,24,3,0
22,22,25,3,0
23,23,26,3,0
24,24,27,3,0
25,25,28,3,0
26,26,29,3,0
27,27,30,3,0
28,28,31,3,0
29,29,32,3,0
30,30,33,3,0
31,31,34,3,0
32,32,35,3,0
33,33,36,3,0
34,34,37,3,0
35,35,38,3,0
36,36,39,3,0
37,37,40,3,0
38,38,41,3,0
39,39,42,3,0
